name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,doorWindow,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,facingDisasterProg,handlingSkill,specialBudget,interactionGuide,emergencyResponse,raiseFunds,provideTraining,churchEducation,riskreduction,disasterOccurs,economicDev,buildingCode,trainingNeeds,increaseCapacity,disasterResponseSOP,dataRoutine,evacuationSimulation,preparednessTools,competent,lastUpdate,Gempa,Banjir,KekeRingan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik,evacuationGuidePerson,disasterContactPerson
GKJ Tanjungtirto,Kaliajir Kalitirto Berbah Sleman 55573,Daerah Istimewa Yogyakarta,-7.786966,110.463414,533,angin kencang,gempa bumi,covid,Tidak Punya,Punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Ya,Ya,Ya,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,-,Tidak,Ya,Sedikit siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak,"Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,"Kotak P3K, Alat pemadam kebakaran, Genset",PMI,"Jumat, 17 Sept 2021",#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Ambarrukma,"Jl. Ampel, No. 4, PapRingan, Catur Tunggal, Depok, Sleman",Daerah Istimewa Yogyakarta,-7.779824,110.39461,1200,Angin puting beliung,Epidemi dan wabah penyakit,Konflik sosial antar kelompok/ antar komunitas masyarakat,Tidak Punya,Tidak Punya,Tidak Punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran)",Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Genset","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Jumat, 17 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Sarimulyo,"Pandega Bakti no 20A, Caturtunggal, Depok, Sleman",Daerah Istimewa Yogyakarta,-7.7560023,110.3802323,800,wabah pandemi,gunung meletus,terorisme,Punya,Punya,Tidak punya,Ya,Ya,Tidak Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",Ya,Ya,Sedikit siap,Ya,Ya,"Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme","Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, 1-2 tahun","Kotak P3K, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset, Ambulans","BPBD/BNPB, PMI, Universitas/lembaga pendidikan","Jumat, 17 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Samironobaru,Kepuh GK 3/ 905 Yk,Daerah Istimewa Yogyakarta,-7.7803074,110.3832321,986,"Gempa bumi, gunung meletus, putingbeliung",Pandemi Covid-19,Kebebasan beribadah,Punya,Punya,Punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental (penggalangan dana/persembahan bencana),"BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama)",Tidak,Tidak,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Pernah tapi belum dicoba simulasikan di gereja,"Peluit, Lampu senter, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara","BPBD/BNPB, Kelompok masyarakat peduli bencana","Sabtu, 18-09-2021",#CF3333,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Pakem,"Jl. Kaliurang Km 18,5 Kertodadi, Pakem, Sleman, Yogyakarta, 55582 | Telp. : (0274) 895431",Daerah Istimewa Yogyakarta,-7.6536499,110.421017,925,Bencana Alam (gunung meletus),Bencana Non-alam (pandemi covid 19),Bencana Sosial (kebebasan beragama di sekolah),Punya,Punya,Punya,Ya,Ya,Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Tidak punya,Punya,Ya,Ya,Ya,Tidak,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Tidak,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit, Terorisme",Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat","Ya, 1-2 tahun","Peluit, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset, HT,kursi roda,masker ","BPBD/BNPB, SAR, PMI","Rabu,22 September 2021",#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Condongcatur,Jl. Wijayakusuma II/344 Perumnas Condongcatur Depok Sleman ,Daerah Istimewa Yogyakarta,-7.754939,110.4061164,712,Konflik sosial antar kelompok/antar komunitas masyarakat,Gunung meletus,Epidemi dan wabah penyakit,Punya,Punya,Punya,Ya,Ya,Tidak Punya,Tidak,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Tidak,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Alat pemadam kebakaran, Alat pengeras suara","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana",24/09/2021,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Maguwoharjo,Kembang RT 05 RW 39 Maguwoharjo Depok Sleman DIY,Daerah Istimewa Yogyakarta,-7.7814169,110.4301235,750,Gempa,Kemacetan lalulintas,Provokasi yang tidak benar,Tidak Punya,Tidak Punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,BNPB/BPBD,Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat","Ya, 1-2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana",Sabtu 25 September 2021 (stlh dibahas dlm rapat majelis),#CF3333,#31AA75,#31AA75,#31AA75,#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Dayu,"Pusung, Sinduharjo, Ngaglik, Sleman. (Jl. Damai, Pusung, Pedukuhan Banteng, Kelurahan Sinduharjo, Kapanewon Ngaglik, Kabupaten Sleman)",Daerah Istimewa Yogyakarta,-7.7335837,110.3848951,856,alam,non-alam,sosial,Punya,Punya,Tidak punya,Ya,Ya,Punya,Belum Teruji,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,LSM/NGO,Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak,"Pendataan golongan darah, Pendataan penyintas COVID-19","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Kotak P3K, Safety Box berisi dokumen penting, Genset",Gugus tugas kebencanaan tingkat kecamatan/ kapanewon.,"Sabtu, 25 Setember 2021",#FF8E00,#31AA75,#F7EA00,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tahu
GKJ Demakijo Yogya,"Modinan, Banyuraden, Gamping, Sleman",Daerah Istimewa Yogyakarta,-7.7770458,110.3321059,640,Konflik sosial suporter sepakbola,Angin besar/topan,Gempa bumi,Tidak punya,Punya,Tidak punya,Tidak,Ya,Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Ya,Tidak,Ya,Insidental (penggalangan dana/persembahan bencana),"PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Tidak siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit",Tidak,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,"Kotak P3K, Alat pemadam kebakaran, Genset","BPBD/BNPB, SAR","Rabu, 15 September 2021",#FF8E00,#31AA75,#31AA75,#31AA75,#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Rewulu,"Gancahan V, Sidomulyo, Godean, Sleman",Daerah Istimewa Yogyakarta,-7.7823959,110.2950395,1793,Bencana non-alam,Bencana sosial,Bencana alam,Tidak punya,Tidak punya,Tidak punya,Ya,Ya,Punya,Ya,Ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Tidak punya,Punya,Tidak,Ya,Tidak,Tidak,Tidak,Insidental dan alokasi anggaran bulanan khusus bencana,LSM/NGO,Ya,Ya,Sedikit siap,Tidak,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit",Tidak,"Pendataan penyintas COVID-19, Jumlah warga",Tidak,"Lampu senter, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset","BPBD/BNPB, SAR","Selasa, 21 September 2021",#F7EA00,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Tidak punya,Tidak Tahu
GKJ Kebonagung,"Pojok V RT 005 RW 011, Sendangagung, Minggir, Sleman",Daerah Istimewa Yogyakarta,-7.724882,110.234615,456,Gempa Bumi,Angin,Covid19,Punya,Punya,Punya,Ya,Ya,Tidak punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Punya,Punya,Punya,Tidak punya,Tidak,Tidak,Tidak,Ya,Ya,Insidental (penggalangan dana/persembahan bencana),"TNI/POLRI, BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Terorisme",Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Kotak P3K, Alat pengeras suara, Genset","BPBD/BNPB, SAR, LSM/NGO Kebencanaan","Jumat, 24 September 2021",#CF3333,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Jatimulyo,Jatimulyo TR I/648 Yogyakarta 55242,Daerah Istimewa Yogyakarta,-7.7744356,110.3576278,963,Gunung Meletus,Konflik sosial antar masyarakat,Gempa,Punya,Punya,Tidak Punya,Ya,Ya,Punya,Ya,Ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"BNPB/BPBD, BNPT (Badan Nasional Penanganan Terorisme), FKUB (Forum Kerukunan Umat Beragama)",Tidak,Ya,Siap,Ya,Tidak,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Terorisme",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)","Ya, > 2 tahun","Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset","Kelompok masyarakat peduli bencana, Posko tanggap bencana gereja",Senin 11 oktober 2021,#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#CF3333,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ Wirobrajan,Jl. Bener no. 65 Tegalrejo Yogyakarta,Daerah Istimewa Yogyakarta,-7.8063824,110.3486843,1200,Non alam,Alam,Sosiak,Punya,Punya,Tidak punya,Ya,Ya,Punya,Ya,Tidak Ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"TNI/POLRI, FKUB (Forum Kerukunan Umat Beragama), Jemaat yang bekerja di Satpol PP",Tidak,Tidak,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Alat pengeras suara, Genset","BPBD/BNPB, SAR, PMI",11/10/2021,#FF8E00,#31AA75,#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
GKJ mergangsan,jln Taman siswa 166 ,Daerah Istimewa Yogyakarta,-7.815194313,110.3759808,1,bendana non alam,bencana sosial,bencana alam,Punya,Punya,Punya,Ya,Ya,Punya,Ya,Tidak Ada,Tidak terdampak,Tidak,Punya,Punya,Punya,Punya,Ya,Ya,Ya,Ya,Ya,Insidental dan alokasi anggaran bulanan khusus bencana,"PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Siap,Ya,Ya,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Genset, Ambulans","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","rabu, 15 september 2021",#F7EA00,#31AA75,#31AA75,#31AA75,#F7EA00,#31AA75,#31AA75,#31AA75,#31AA75,#FF8E00,#31AA75,#FF8E00,#FF8E00,Punya,Tahu
