no,name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,evacuationGuidePerson,lastUpdate,disasterContactPerson,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
32,GKJ Samironobaru,Kepuh GK 3/ 905 Yk,DIY,-7.7803074,110.3832321,986,"Gempa bumi, gunung meletus, putingbeliung",Pandemi Covid-19,Kebebasan beribadah,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya dan belum diperbarui, masih relevan","Punya, sudah diperbarui",Punya dan masih perlu peningkatan kapasitas,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, Kelompok masyarakat peduli bencana",Pernah tapi belum dicoba simulasikan di gereja,"Peluit, Lampu senter, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Kebakaran, letusan gunung merapi, pandemi Covid-19",Ya,Insidental (penggalangan dana/persembahan bencana),Ya,Ya,"BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama)",Ya,Tidak,Tidak,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian",Punya dan masih perlu peningkatan kapasitas,"Sabtu, 18-09-2021",Masih terus disosialisasikan ke jemaat,,Green,Green,Green,Green,Green,Green,Red,Green,Orange,Green,Orange,Orange
33,Gkj Pakem,"Jl. Kaliurang Km 18,5 Kertodadi, Pakem, Sleman, Yogyakarta, 55582 | Telp. : (0274) 895431",Yogyakarta,-7.6536499,110.421017,925,Bencana Alam (gunung meletus),Bencana Non-alam (pandemi covid 19),Bencana Sosial (kebebasan beragama di sekolah),Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, PMI","Ya, 1-2 tahun","Peluit, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset, HT,kursi roda,masker ",Ya,Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",Bantuan Bencana alam dan Non-alam ,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,"BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Tidak,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit, Terorisme",Tidak punya,"Rabu,22 September 2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
34,Gereja Kristen Jawa Condongcatur,Jl. Wijayakusuma II/344 Perumnas Condongcatur Depok Sleman ,Daerah Istimewa Yogyakarta,-7.754939,110.4061164,712,Konflik sosial antar kelompok/antar komunitas masyarakat,Gunung meletus,Epidemi dan wabah penyakit,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),Tidak,Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Alat pemadam kebakaran, Alat pengeras suara",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,"TNI/POLRI, BNPB/BPBD, PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas",24/09/2021,Tahu dan bisa mengakses,Orange,Green,Green,Green,Green,Green,Green,Red,Green,Orange,Green,Orange,Orange
35,GKJ Maguwoharjo,Kembang RT 05 RW 39 Maguwoharjo Depok Sleman DIY,DIY,-7.7814169,110.4301235,750,Gempa,Kemacetan lalulintas,Provokasi yang tidak benar,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, SAR, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, 1-2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",Cari tempat terbuka atau berlindung ditempat yang aman... ,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,BNPB/BPBD,Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Punya, aktif dan selalu meningkatkan kapasitas",Sabtu 25 September 2021 (stlh dibahas dlm rapat majelis),Tahu dan bisa mengakses,,Green,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
36,GKJ Dayu,"Pusung, Sinduharjo, Ngaglik, Sleman.
(Jl. Damai, Pusung, Pedukuhan Banteng, Kelurahan Sinduharjo, Kapanewon Ngaglik,
Kabupaten Sleman)",Daerah Istimewa Yogyakarta,-7.7335837,110.3848951,856,alam,non-alam,sosial,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, belum teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas",Gugus tugas kebencanaan tingkat kecamatan/ kapanewon.,"Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Kotak P3K, Safety Box berisi dokumen penting, Genset","Ya, dalam koordinasi dengan tanggap bencana klasis.",Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Sesuai tata pelayanan Majelis Gereja,LSM/NGO,Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak punya,"Sabtu, 25 Setember 2021",Tahu dan bisa mengakses,Orange,Green,Yellow,Green,Orange,Green,Green,Green,Green,Orange,Green,Orange,Orange
37,GKJ Demakijo Yogya,"Modinan, Banyuraden, Gamping, Sleman",Yogyakarta,-7.7770458,110.3321059,640,Konflik sosial suporter sepakbola,Angin besar/topan,Gempa bumi,Tidak punya,Punya dan berfungsi,Tidak punya,Tidak,Tidak,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR",Tidak,"Kotak P3K, Alat pemadam kebakaran, Genset",Ya,Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Insidental (penggalangan dana/persembahan bencana),Ya,Tidak,"PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Ya,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit",Tidak punya,"Rabu, 15 September 2021",Tidak tahu dan tidak bisa mengakses,Orange,Green,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
38,GKJ Rewulu,"Gancahan V, Sidomulyo, Godean, Sleman",DIY,-7.7823959,110.2950395,1793,Bencana non-alam,Bencana sosial,Bencana alam,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Tim khusus dibentuk ketika terjadi bencana,"BPBD/BNPB, SAR",Tidak,"Lampu senter, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Tidak,Ya,"Pendataan penyintas COVID-19, Jumlah warga",,Tidak,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,LSM/NGO,Tidak,Ya,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit",Tidak punya,"Selasa, 21 September 2021",Tidak tahu dan tidak bisa mengakses,Yellow,Green,Orange,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
39,GKJ Kebonagung,"Pojok V RT 005 RW 011, Sendangagung, Minggir, Sleman",Daerah Istimewa Yogyakarta,-7.724882,110.234615,456,Gempa Bumi,Angin,Covid19,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Tidak punya,"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Kotak P3K, Alat pengeras suara, Genset",Tidak,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19",,Tidak,Insidental (penggalangan dana/persembahan bencana),Ya,Ya,"TNI/POLRI, BNPB/BPBD, FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas","Jumat, 24 September 2021",Tahu dan bisa mengakses,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Orange,Green,Orange,Orange
40,GKJ Jatimulyo,Jatimulyo TR I/648 Yogyakarta 55242,DIY,-7.7744356,110.3576278,963,Gunung Meletus,Konflik sosial antar masyarakat,Gempa,Punya dan berfungsi,Punya dan berfungsi,"Punya, tetapi tidak berfungsi",Ya,,Ya,"Masih bangunan lama, semen bata merah",Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,"Punya, aktif saat kondisi bencana (momental)","Punya, aktif dan selalu meningkatkan kapasitas","Kelompok masyarakat peduli bencana, Posko tanggap bencana gereja","Ya, > 2 tahun","Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Gunung meletus yg berimbas pada banjir lahar di sungai code dab winongo,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"BNPB/BPBD, BNPT (Badan Nasional Penanganan Terorisme), FKUB (Forum Kerukunan Umat Beragama)",Ya,Tidak,Ya,Siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Punya, aktif saat kondisi bencana (momental)",Senin 11 oktober 2021,Tahu dan bisa mengakses,,Green,Green,Green,Green,Green,Green,Red,Green,Orange,Green,Orange,Orange
41,GKJ Wirobrajan,Jl. Bener no. 65 Tegalrejo Yogyakarta,Daerah Istimewa Yogyakarta,-7.8063824,110.3486843,1200,Non alam,Alam,Sosiak,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, PMI","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Alat pemadam kebakaran, Alat pengeras suara, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat","Bencana Alam (gempa), Non Alam (kebakaran), sosial (terorisme)",Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"TNI/POLRI, FKUB (Forum Kerukunan Umat Beragama), Jemaat yang bekerja di Satpol PP",Ya,Tidak,Tidak,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas",11/10/2021,Tahu dan bisa mengakses,Orange,Green,Yellow,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Orange
42,gkj mergangsan,jln Taman siswa 166 ,Yogyakarta,-7.815194313,110.3759808,1,bendana non alam,bencana sosial,bencana alam,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Genset, Ambulans",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",bencana alam dan bencana non alam,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas","rabu, 15 september 2021",Tahu dan bisa mengakses,Yellow,Green,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
43,GKJ Gondokusuman,Jl. dr Wahidin Sudirohusodo no 40 Yogyakarta,DIY,-7.785587775,110.3790847,2500,Bencana alam,Bencana non alam,Bencana sosial,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui",punya dan siap,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, LSM/NGO Kebencanaan","Ya, > 2 tahun","Peluit, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Peralatan balut bidai, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset, Ambulans",Ya,Ya,Pendataan penyintas COVID-19,Bencana alam dan bencana sosial,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Ya,"TNI/POLRI, BNPB/BPBD, LSM/NGO",Ya,Ya,Ya,Sangat siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Terorisme","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Terorisme",punya dan siap,"Kamis, 16 September 2021",Tahu dan bisa mengakses,Yellow,Green,Yellow,Green,Orange,Green,Green,Green,Green,Orange,Green,Orange,Orange
44,"GKJ Bantul, Yogyakarta","Jln. Mgr.Sugiyopranoto, SJ. 169 Bantul Yogyakarta",Daerah Istimewa Yogyakarta (DIY),-7.890926821,110.3341282,787,Konflik sosial,Alam,Non alam,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, belum teruji",Tidak ada,Tidak terdampak,Tidak,"Tidak ada jalur khusus, tapi situasi gereja sangat mudah untuk evakuasi.",Tidak punya,Tidak punya,"Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, Tim Tanggap Bencana Klasis",Tidak,"Peluit, Helm, Lampu senter, Lampu darurat, Rompi, Kotak P3K, Alat pengeras suara, Genset",Tidak,Ya,"Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,BNPB/BPBD,Tidak ada bencanapun gereja sudah melakukan  pendampingan untuk peningkatan ekonomi jemaat.,Tidak,Ya,Sedikit siap,"Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana","Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana",Tidak punya,"Jumat,  16 September 2021",Tahu dan bisa mengakses,Green,Green,Yellow,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
