name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,lastUpdate,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
Gereja Gkka Gibeon Palu,Jl. Zebra no. 49 palu,Sulawesi tengah,-0.92446,119.8826,179,Gemoa bumi,Epidemi penyakit,Terorisme,"Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui",Masih dalam perencanaan,Tidak punya,Tidak punya,"BPBD/BNPB, PMI",Tidak,"Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Tidak,"Dana insidental kebencanaan , Dana kebencanaan rutin , Tenaga kesehatan , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum ada,Tidak ada,Tidak ada,"Khotbah, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Epidemi dan wabah penyakit, Terorisme","Simulasi gempa, penanganan epidemi penyakit dan penanganan terorisme",1 mei 2021,Red,Orange,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GPdI eben haezer,Jl. Sulawesi bawah lrg. Singgani no. 13 A,Sulawesi tengah,-0.90107,119.8659,525,"Gempa bumi, angin kencang dan banjir",Eoidemi penyakit,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,"Punya, sudah diperbarui",Tidak punya,Tidak punya,Tidak punya,SAR,Tidak,"Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,"Dana insidental kebencanaan , Dana kebencanaan rutin, Tenaga/Pelayan Pastoral",Pendataan golongan darah,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,BNPB/BPBD,Tidak ada,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu","Khotbah, Video, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan penanggulangan bencana gempa (simulasi), penangulangan penyakit dan teror gereja.",1 mei 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja sidang jemaat Allah di Indonesia (GSJA),Jalan Tanjung manimbaya 114,Sulawesi tengah,-0.90857,119.8819,350,Konflik sosial antar kelompok/antar komunitas,Terorisme,Kebebasan beribadah,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Belum sesuai standar,Punya dan tersimpan dengan baik (mudah diakses),Gereja tidak memiliki cakar ayam,Retak ringan,Tidak terdampak,Tidak,Belum dibuat jalur atau rute evakuasi,Tidak punya,Tidak punya,Ada dalam bentuk deparfemen,"BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana",Tidak,"Alat pemadam kebakaran, Genset",Belum ada,Tidak,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Belum ada,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum pernah melaksanakan,Belum melakukan,Ibadah minggu,"Video, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Interaksi dan konflik sosial, Terorisme","Menyusun rencana pengembangan sistem peringatan, pemeliharaan persediaan dan pelatihan",2 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gereja Toraja Mamasa Jemaat Filadelfia,Jalan Zebra lorong KSM palu,sulawesi tengah,-0.92476,119.8859,120,gempa bumi,kebakaran,terorisme,Punya dan berfungsi,Tidak punya,Tidak punya,Ya,Tidak,Tidak,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Ada struktur tulangan yang lepas,Terdampak dan berpotensi membahayakan pengguna/jemaat,Ya,Tidak punya,Tidak punya,Tidak punya,"Punya, tetapi tidak tahu apa yang dilakukan","BPBD/BNPB, LSM/NGO Kebencanaan, PMI",Tidak,"Alat pengeras suara, Genset",Tidak,Tenaga/Pelayan Pastoral,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,belum pernah,belum ada,Ibadah minggu,Khotbah,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan","pelatihan penanggulangan bencana alam gempa bumi, kebakaran, banjir dan lifukasi",2 mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gpid Jemaat Sola Gratia,Jalan Tanjung manimbaya no 168 c kota palu,Sulawesi tengah,-0.909096,119.888465,300,Terorisme,Gempa bumi,Likuifaksi,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Tidak punya,"Ya, sudah teruji",Kerusakan pada lantai gedung,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas",Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,"Kotak P3K, Alat pengeras suara, Genset",Tidak,Tim penanganan bencana yang terlatih,"Pendataan golongan darah, Pendataan penyintas COVID-19",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Gempa bumi tsunami dan likuifaksi,Ya,TNI/POLRI,Tidak ada,Ibadah minggu,Khotbah,Sedikit siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Interaksi dan konflik sosial",Harus ada edukasi terlebih dahulu setelah diadakan pelatihan,2 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gpid patmos Jonooge di sidera,Desa sidera bagian atas kecamatan Sigi biromaru kabupaten Sigi,Sulawesi tengah,-1.01869,119.9483,272,Konflik sosial,Terorisme,Gempa bumi ,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, belum teruji",Bangunan baru,Hancur tdk berada di tempat,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,BPBD/BNPB,Tidak,"Lampu senter, Lampu darurat, Alat pengeras suara, Genset",Tidak,Tidak,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,"BNPB/BPBD, LSM/NGO",Bantuan modal,Tidak ada,Tidak ada,Tidak siap,Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Pengetahuan tentang kebencanaan pertolongan/tindakan yang dapat dilakukan,1 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GBI Jemaat Malaya Palu,Jl. Towua Lrg. Malaya Palu,Sulawesi Tengah,-0.92946,119.8808,70,Gempa bumi,Kebakaran,Wabah penyakit Covid19,Tidak punya,Tidak punya,Tidak punya,Ya,,Tidak,Tidak,Punya dan tersimpan dengan baik (mudah diakses),Tidak,Tiang yang miring,Terdampak dan berpotensi membahayakan pengguna/jemaat,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,Genset,Tidak,"Dana insidental kebencanaan , Tenaga/Pelayan Pastoral",Pendataan Jumlah keseluruhan Jemaat,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum ada,Tidak ada,"Ibadah minggu, Sekolah Minggu","Khotbah, Poster, Broadcast message WhatsApp Group",Siap,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Epidemi dan wabah penyakit","1. Simulasi Tanggap darurat bencana
2. Pembentukan tim khusus serta pelatihan dalam tiap bidangnya",2 Mei 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Bala keselamatan Lekatu,Jalan Malonda RT 02 RW 01 kota palu,Sulawesi tengah,-0.85709,119.8129,700,Gempa bumi,Angin topan/kencang,Epidemi dan wadah penyakit,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana",Tidak,"Lampu senter, Genset",Tidak,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak ada,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu",,Tidak siap,"Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Simulasi menghadapi bencana, perubahan iklim dan dampaknya, epidemi dan wabah penyakit",02 Mei 2021,Red,Red,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gkmi jemaat mawar saron,Jalan keledai palu,Sulawesi tengah,-0.92746,119.8859,26,Gempa bumi,Konflik sosial,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Tidak punya,Bangunan belum selesai,Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,BPBD/BNPB,Tidak,Lampu senter,Tidak,Tidak,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum ada,Tidak ada,Tidak ada,Tidak ada,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana",Sosialisasi mitigasi bagi anak-anak pada saat terjadi gempa,2 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GPID Koinonia Palu,Jalan Tangkasi,Sulawesi Tengah,-0.92881,119.8891,450,Gempa bumi,Wabah penyakit,Konflik sosial,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Ya,Ya,Tidak punya,Tidak,Tidak ada,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, Kelompok masyarakat peduli bencana",Tidak,Alat pengeras suara,Ya,Tenaga/Pelayan Pastoral,"Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Tidak ada,Tidak ada,Ibadah minggu,"Khotbah, Broadcast message WhatsApp Group",Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Keterampilan psikososial dalam penanganan korban bencana",Sosialisasi tentang kebencanaan,2 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
Gereja Masehi Advent Hari Ketujuh Jemaat SetiaBudi Palu,Jln. Setiabudi No. 64 Palu,Sulawesi Tengah,-0.88805,119.8789,178,Gempa Bumi,Tsunami,Likuifaksi,Punya dan berfungsi,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak berfungsi",Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, SAR, LSM/NGO Kebencanaan","Ya, 1-2 tahun","Lampu senter, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset, Ambulans",Ya,"Tim penanganan bencana yang terlatih, Tenaga kesehatan , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),"Gempa Bumi, dll",Ya,"TNI/POLRI, BNPB/BPBD, BNPT (Badan Nasional Penanganan Terorisme)",Keterampilan,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu","Khotbah, Video, Poster, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Tidak ada ,3 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gpid jemaat Manunggal,Jalan Towua no.11 palu,Sulawesi tengah,-0.9198835024,119.877948,1669,Gempa bumi,Epidemi dan wabah penyakit,Konflik sosial antar kelompok,Tidak punya,Tidak punya,Tidak punya,Ya,Tidak,Tidak semua terbuka kearah luar,Ya,Pernah mempunyai (tidak dapat diakses lagi),Tidak,Retak ringan,Terdampak tetapi masih ada pada tempatnya,Ya,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan",Tidak,"Lampu senter, Kotak P3K, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Genset, Ambulans",Tidak,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,BNPB/BPBD,Tidak ada,Ibadah minggu,"Khotbah, Video, Poster, Broadcast message WhatsApp Group",Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Epidemi dan wabah penyakit","Koordinasi dengan semua recorder, penggunaan sarana dan prasarana kebencanaan, pelatihan tahun penyalahgunaan bencana di gereja",5 Mei 2021,Red,Yellow,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gereja Pantekosta Tabernakel Kristus Kasih,Jl. Basuki Rahmat no.37 A,Sulawesi Tengah,-0.91891,119.8806,150,Gempa bumi,Liquifaksi,Tsunami,Punya dan berfungsi,Tidak punya,Tidak punya,Ya,,Ya,Tidak,Tidak punya,"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Ya,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,Tidak punya,BPBD/BNPB,Tidak,Lampu senter,Tidak,Tenaga/Pelayan Pastoral,Pendataan golongan darah,Gempa bumi,Tidak,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Gempa bumi,Tidak,TNI/POLRI,Keterampilan,Tidak ada,Tidak ada,Sedikit siap,Simulasi menghadapi bencana,Meningkatkan kesiap Siagaan untuk mengantisipasi bencana,03 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GPID Pniel Palu,Jl. Cik Di Tiro. No. 20. Palu,Sulawesi Tengah,-0.89282,119.8721,1900,Gempa bumi,Epidemi dan wabah penyakit,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, PMI","Ya, 1-2 tahun","Alat pemadam kebakaran, Safety Box berisi dokumen penting, Genset, Ambulans",Tidak,Dana insidental kebencanaan ,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum pernah,Tidak ada,"Ibadah minggu, Sekolah Minggu","Khotbah, Broadcast message WhatsApp Group, Warta Jemaat",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Pelatihan Simulasi menghadapi bencana,05 April 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GPID Getsemani Maesa Palu,Jalan Patimura No.15 Palu,Sulawesi Tengah,-0.89955,119.8689,876,Gempa bumi,Epidemi dan wabah penyakit covid 19,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Tidak punya,"Ya, sudah teruji",Retak ringan,Tidak terdampak,Ya,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, PMI",Tidak,"Kotak P3K, Alat pemadam kebakaran, Genset",Tidak,Tidak,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Covid 19,Tidak,Tidak ada,Tidak ada,Ibadah minggu,"Khotbah, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Manajemen Barak, Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme","Pelatihan tentang bencana, kesiap siagaan dalam menghadapi bencana",30 April 2021,Red,Orange,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GKST Jemaat Siloam Palu,Jl. Karanjalemba lorong siloam palu,Sulawesi Tengah,-0.93457,119.8905,77,Gempa bumi ,Epidemi dan Wabah Penyakit (Covid 19) ,Konflik sosial antar kelompok /anatar komunitas masyarakat,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya jalur evakuasi aksesibel hanya memiliki jalur evakuasi umum,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, PMI",Tidak,Genset,Tidak,"Dana insidental kebencanaan , Tenaga kesehatan , Tenaga/Pelayan Pastoral","Pendataan golongan darah, Pendataan pekerjaan/kegiatan usaha jemaat",Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,Belum pernah,Tidak ada,"Ibadah minggu, Pendalaman Alkitab, Sekolah Minggu","Khotbah, Video, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Interaksi dan konflik sosial, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit, Terorisme",Program pelatihan /simulasi tanggap darurat bencana , 4 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
Gereja Masehi Protestan Umum Jemaat Filea Palu,Jl. Towua lorong malaya palu,Sulawesi tengah,-0.93062,119.8812,120,Gempa bumi ,Banjir,Epidemi dan wabah penyakit (Covid 19) ,Tidak punya,Tidak punya,Tidak punya,Tidak,Ya,Gedung gereja dalam tahap rencana pembangunan sehingga belum memiliki pintu seperti yang di maksud,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana",Tidak,Semua tidak ada,Tidak,"Dana insidental kebencanaan, Tenaga/Pelayan Pastoral",Pendataan pekerjaan/kegiatan usaha jemaat,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,Belum pernah,Tidak ada,"Ibadah minggu, Sekolah Minggu","Khotbah, Video, Poster, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Teologi Bencana (Church and Community Transformation Resilience Approach-CCT)","Pembangunan  gedung yang permanent yang strukturnya tahan gempa, serta pembentukan tim siaga bencana yang terlatih", 4 Mei 2021,Red,Orange,Green,Green,Orange,Green,Green,Green,Green,Red,Green,Orange,Orange
GKST Victory Palu,Jl. Ki Hajar Dewantoro Palu lorong Cencer No.10A,Sulawesi Tengah,-0.89168,119.8849,94,Gempa bumi,Angin puting beliung,Tanah longsor,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,"Punya, sudah diperbarui",Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, SAR, LSM/NGO Kebencanaan","Ya, > 2 tahun","Lampu senter, Genset",Tidak,Tenaga/Pelayan Pastoral,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,Belum ada,Tidak ada,Ibadah minggu,Khotbah,Siap,Simulasi menghadapi bencana,Sosialisasi dan penguatan dalam menghadapi dan mengantisipasi bencana,01 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GKST jemaat Gamaliel karanjalemba palu,Jl. Karanjalemba 3 ,Sulawesi tengah,-0.93399,119.8902,123,Gempa bumi,Epidemi dan wabah penyakit (covid 19) ,Konflik sosial antar kelompok/antar komunitas masyarakat,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Ya,"Punya, sudah diperbarui",Tidak punya,Tidak punya,Tidak punya,"SAR, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana",Tidak,"Lampu senter, Genset",Ya,"Dana insidental kebencanaan , Tenaga kesehatan , Tenaga/Pelayan Pastoral",Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,FKUB (Forum Kerukunan Umat Beragama),,"Ibadah minggu, Sekolah Minggu","Khotbah, Broadcast message WhatsApp Group",Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana",Program Pembinaan pada jemaat untuk pelatihan tanggap darurat bencana, 4 Mei 2021,Red,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
GPdI Filadelfia Tawaeli,Jl. Biaya Raya No. 127A,Sulawesi Tengah,-0.72125,119.8636,100,Gempa bumi,Pandemi Covid 19,Terorisme,Tidak punya,Tidak punya,Tidak punya,Ya,,Tidak,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, belum teruji",Bangunan baru di bangun pasca gempa 28 September 2018,Terdampak dan berpotensi membahayakan pengguna/jemaat,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,Kepolisian,Tidak,Genset,Tidak,Dana insidental kebencanaan ,Tidak ada,Tidak,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Belum pernah ada,,"Ibadah minggu, Sekolah Minggu","Khotbah, Broadcast message WhatsApp Group",Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan",Simulasi tanggap darurat, 04 Mei 2021,Orange,Green,Green,Green,Orange,Green,Green,Green,Green,Red,Orange,Orange,Orange
